Rec_number,LatencyGA.goal,Species,LatencyMAU.goal,Social_unit
301319,0.63,EAC,1.23,Waibira
301003,0,EAC,1.1,Waibira
300037,0,EAC,0,Waibira
301016,0,EAC,0,Waibira
300383,0.33,EAC,8,Waibira
300521,-1.28,EAC,-1.28,Waibira
301366,1.64,EAC,3.1,Waibira
300444,0.76,EAC,1.56,Waibira
301008,-0.11,EAC,1.8,Waibira
300113,0.1,EAC,1.41,Waibira
301231,1.4,EAC,2.81,Waibira
301200,0.26,EAC,1.35,Waibira
301211,0,EAC,1.98,Waibira
301268,0.41,EAC,3.21,Waibira
300013,0.03,EAC,0.03,Waibira
301049,-0.66,EAC,1.12,Waibira
301658,0.71,EAC,1.35,Waibira
300116,0.95,EAC,0.98,Waibira
300083,0,EAC,0.66,Waibira
301298,1.08,EAC,4.59,Waibira
301025,-1.04,EAC,-0.61,Waibira
301042,0,EAC,0.79,Waibira
300074,0,EAC,1.44,Waibira
301365,1,EAC,1.47,Waibira
301139,0,EAC,1.15,Waibira
301476,0.51,EAC,1.32,Waibira
301555,0,EAC,0.14,Waibira
301659,2.13,EAC,2.41,Waibira
301052,0.12,EAC,0.84,Waibira
301010,0,EAC,0.81,Waibira
300368,0,EAC,0.2,Waibira
301518,-0.5,EAC,-0.5,Waibira
301014,0.29,EAC,0.29,Waibira
301809,0,EAC,0,Waibira
301321,0.23,EAC,3.58,Waibira
300046,0,EAC,2.22,Waibira
300048,0.7,EAC,1.95,Waibira
300148,0.85,EAC,1.68,Waibira
300421,0,EAC,7.16,Waibira
301545,5.41,EAC,5.41,Waibira
300575,1.05,EAC,3.15,Waibira
300229,0,EAC,0.96,Waibira
301584,0,EAC,0,Waibira
301108,1.1,EAC,1.98,Waibira
300179,0.81,EAC,2.38,Waibira
300437,3.71,EAC,3.71,Waibira
300051,0.23,EAC,0.93,Waibira
301797,1.72,EAC,1.72,Waibira
300225,0,EAC,0.3,Waibira
301009,1.57,EAC,3.31,Waibira
301225,0,EAC,0,Waibira
300414,0,EAC,2.22,Waibira
300416,0.62,EAC,2.87,Waibira
301551,0,EAC,0.66,Waibira
300546,0.08,EAC,0.08,Waibira
301136,0.38,EAC,2.74,Waibira
301018,0.23,EAC,1.21,Waibira
300424,0,EAC,0.21,Waibira
300142,0.41,EAC,30.33,Waibira
300413,-0.07,EAC,1.21,Waibira
301469,0,EAC,0,Waibira
300100,1.57,EAC,1.76,Waibira
301671,0,EAC,0.31,Waibira
301144,0,EAC,2.17,Waibira
301053,0.17,EAC,0.87,Waibira
300245,0,EAC,3.9,Waibira
300172,0,EAC,0.86,Waibira
300408,0,EAC,0.78,Waibira
301593,0,EAC,1.81,Waibira
301214,0,EAC,1.19,Waibira
300203,0,EAC,2.81,Waibira
301204,0.92,EAC,1.1,Waibira
301145,-0.18,EAC,0.32,Waibira
301259,0.32,EAC,11.25,Waibira
301570,0.77,EAC,0.77,Waibira
300219,2.17,EAC,2.35,Waibira
301149,0.32,EAC,2.22,Waibira
301538,0,EAC,1.09,Waibira
301524,0,EAC,0.82,Waibira
301314,0,EAC,0,Waibira
300316,-0.31,EAC,-0.31,Waibira
301113,0.01,EAC,0.88,Waibira
301121,0.96,EAC,3.42,Waibira
301332,1.58,EAC,1.82,Waibira
300166,0,EAC,0.55,Waibira
300331,0.64,EAC,1.52,Waibira
301154,0,EAC,2.88,Waibira
300202,1.1,EAC,2.15,Waibira
301594,1.48,EAC,1.48,Waibira
300369,0,EAC,0,Waibira
300211,0,EAC,0.27,Waibira
301370,-0.22,EAC,0.66,Waibira
301317,0,EAC,3.32,Waibira
301217,-0.04,EAC,-0.04,Waibira
300212,0,EAC,0.28,Waibira
300427,0,EAC,0.87,Waibira
300378,0,EAC,0.77,Waibira
301187,0,EAC,1.09,Waibira
301596,0,EAC,2.9,Waibira
301553,0,EAC,0,Waibira
300580,0.19,EAC,0.19,Waibira
301156,0.22,EAC,0.22,Waibira
301170,0,EAC,2.58,Waibira
301120,0,EAC,0,Waibira
301209,0,EAC,0,Waibira
300061,-0.6,EAC,-0.6,Waibira
301023,1.78,EAC,2.08,Waibira
301248,0,EAC,0.23,Waibira
301478,0.17,EAC,0.77,Waibira
300075,0,EAC,0.88,Waibira
300215,2.83,EAC,3.38,Waibira
300060,0,EAC,1.82,Waibira
300200,-0.31,EAC,0.87,Waibira
300501,-0.86,EAC,0.29,Waibira
300029,0,EAC,3.06,Waibira
300226,0.19,EAC,1.28,Waibira
301072,-0.08,EAC,0.07,Waibira
301109,0.09,EAC,0.75,Waibira
300082,1.37,EAC,2.54,Waibira
300438,-0.61,EAC,0.75,Waibira
301173,0.98,EAC,2.66,Waibira
300269,0,EAC,0.94,Waibira
301186,0.24,EAC,1.27,Waibira
300346,0,EAC,4.89,Waibira
301779,0,EAC,0.54,Waibira
300345,-0.24,EAC,-0.24,Waibira
300084,0,EAC,1.42,Waibira
300118,0.13,EAC,0.25,Waibira
300054,0.13,EAC,0.58,Waibira
301371,1.44,EAC,1.44,Waibira
301523,0,EAC,0.33,Waibira
301311,-0.45,EAC,-0.45,Waibira
300057,0.05,EAC,0.46,Waibira
300508,-0.05,EAC,1.14,Waibira
301531,0,EAC,3.2,Waibira
300560,0,EAC,0.29,Waibira
300077,-0.79,EAC,-0.79,Waibira
300053,0.26,EAC,1.17,Waibira
301226,0,EAC,0,Waibira
301513,-0.65,EAC,1.63,Waibira
301362,0,EAC,0,Waibira
301164,0,EAC,0,Waibira
301069,0,EAC,0.14,Waibira
300079,-0.89,EAC,-0.89,Waibira
301191,-0.67,EAC,-0.67,Waibira
301667,0,EAC,0.28,Waibira
301783,0.23,EAC,0.57,Waibira
300240,-0.7,EAC,0.31,Waibira
300076,-1.51,EAC,-1.51,Waibira
300146,0.23,EAC,10.22,Waibira
301163,0.34,EAC,0.57,Waibira
301472,0.15,EAC,0.15,Waibira
101811,-0.04,EAC,1.24,Sonso
101994,0.92,EAC,1.68,Sonso
101297,2.6,EAC,4.36,Sonso
101614,0,EAC,0.84,Sonso
102461,-1.8,EAC,-0.36,Sonso
102966,0.44,EAC,0.44,Sonso
102189,0.04,EAC,0.2,Sonso
104220,1.44,EAC,2.2,Sonso
104046,0,EAC,0.96,Sonso
102747,0,EAC,4.72,Sonso
100879,0.24,EAC,0.24,Sonso
101907,0,EAC,0.76,Sonso
103243,0.04,EAC,0.04,Sonso
103281,0,EAC,1,Sonso
104490,0,EAC,1.92,Sonso
102392,-0.2,EAC,-0.2,Sonso
100425,-0.04,EAC,6.76,Sonso
102915,0.24,EAC,0.24,Sonso
100006,-0.04,EAC,0.52,Sonso
103116,0,EAC,3.84,Sonso
101163,14.12,EAC,15.88,Sonso
102741,0.04,EAC,1.92,Sonso
100213,0.16,EAC,1.12,Sonso
103042,1.28,EAC,2.72,Sonso
104611,0.6,EAC,1.2,Sonso
101990,0.8,EAC,1.24,Sonso
104085,0,EAC,0.44,Sonso
102887,0.44,EAC,1.28,Sonso
101627,-0.04,EAC,-0.04,Sonso
100275,0.48,EAC,1.08,Sonso
100009,0,EAC,1.32,Sonso
103999,0.76,EAC,0.76,Sonso
101443,5.4,EAC,5.4,Sonso
102930,0.68,EAC,1.8,Sonso
103843,0.04,EAC,0.72,Sonso
104430,0,EAC,1.48,Sonso
100236,-0.28,EAC,-0.28,Sonso
101831,-0.76,EAC,-0.76,Sonso
100536,-0.04,EAC,0.2,Sonso
100644,4.92,EAC,5.6,Sonso
104055,-0.32,EAC,-0.04,Sonso
100537,22.4,EAC,23.44,Sonso
101639,1.88,EAC,2.88,Sonso
104339,3.84,EAC,3.84,Sonso
101974,0.08,EAC,1,Sonso
103184,0,EAC,0,Sonso
100151,-0.12,EAC,0.32,Sonso
103780,0,EAC,0,Sonso
101137,-0.88,EAC,0.92,Sonso
102752,0,EAC,2.28,Sonso
104769,0,EAC,1.28,Sonso
104813,0.2,EAC,0.84,Sonso
100282,-0.16,EAC,0,Sonso
104426,0,EAC,2.12,Sonso
100214,0,EAC,0.36,Sonso
101619,0.24,EAC,6.24,Sonso
104358,0.32,EAC,1.24,Sonso
101092,1.04,EAC,2.6,Sonso
101558,0.28,EAC,0.56,Sonso
104818,0,EAC,1.96,Sonso
103097,0.16,EAC,3.12,Sonso
101837,0.72,EAC,0.96,Sonso
103454,0,EAC,2,Sonso
103439,0,EAC,0,Sonso
104152,0.2,EAC,0.28,Sonso
101584,0.04,EAC,0.04,Sonso
100667,0.64,EAC,0.64,Sonso
104057,1.48,EAC,1.48,Sonso
104350,0,EAC,4.64,Sonso
102517,0.28,EAC,0.64,Sonso
102980,1.76,EAC,2.36,Sonso
103898,2.36,EAC,2.36,Sonso
100199,-1.08,EAC,1.12,Sonso
104563,0,EAC,1.2,Sonso
100237,0,EAC,0,Sonso
104889,0,EAC,0.64,Sonso
102275,0.32,EAC,7.32,Sonso
104379,3.56,EAC,5.76,Sonso
100669,0.16,EAC,0.84,Sonso
101585,0.08,EAC,0.44,Sonso
104131,3.04,EAC,4.36,Sonso
101917,-1.12,EAC,0.04,Sonso
104454,0.04,EAC,1.52,Sonso
100310,-0.84,EAC,-0.84,Sonso
103096,0.2,EAC,0.48,Sonso
102174,1.08,EAC,1.36,Sonso
101995,0.56,EAC,0.56,Sonso
101845,0.16,EAC,0.56,Sonso
104659,0,EAC,1.72,Sonso
103438,0,EAC,0,Sonso
103814,0.44,EAC,0.92,Sonso
101835,-0.04,EAC,1,Sonso
100881,0,EAC,0.6,Sonso
100007,-0.32,EAC,0,Sonso
101355,-0.04,EAC,0.32,Sonso
104443,0.44,EAC,1.8,Sonso
100350,0,EAC,0,Sonso
100648,0.72,EAC,3.36,Sonso
101407,3.32,EAC,3.32,Sonso
101583,0.12,EAC,0.36,Sonso
104249,1.24,EAC,2.72,Sonso
102751,0.44,EAC,0.8,Sonso
104814,1.72,EAC,2.24,Sonso
100584,0.12,EAC,0.52,Sonso
100380,-0.36,EAC,1.2,Sonso
103897,1.36,EAC,1.36,Sonso
103035,0.52,EAC,1.28,Sonso
103819,0,EAC,1.6,Sonso
104383,0,EAC,0,Sonso
101843,0,EAC,0.72,Sonso
101120,-0.04,EAC,1.16,Sonso
103554,0,EAC,1.2,Sonso
100343,0,EAC,0.6,Sonso
100263,-1.4,EAC,-1.4,Sonso
104109,4.12,EAC,4.12,Sonso
104409,0,EAC,1.52,Sonso
104435,0.32,EAC,1.08,Sonso
101612,1.24,EAC,1.56,Sonso
103015,0.44,EAC,2.48,Sonso
100588,-0.04,EAC,-0.04,Sonso
104000,0,EAC,1.72,Sonso
103779,0.24,EAC,0.24,Sonso
103388,0,EAC,1.36,Sonso
104885,0,EAC,1.2,Sonso
104548,0.4,EAC,3.16,Sonso
104422,1.84,EAC,4.24,Sonso
103037,0,EAC,0.76,Sonso
103387,2.4,EAC,2.4,Sonso
101862,0.28,EAC,0.52,Sonso
101589,0.8,EAC,0.8,Sonso
100969,0.92,EAC,1.84,Sonso
102718,0.32,EAC,0.32,Sonso
104883,0,EAC,0.76,Sonso
102347,1.56,EAC,3.04,Sonso
100526,0.04,EAC,0.84,Sonso
101520,-0.68,EAC,1.52,Sonso
103091,0,EAC,0.28,Sonso
101617,0.72,EAC,3.72,Sonso
100273,-0.92,EAC,0.48,Sonso
102341,12.56,EAC,17.8,Sonso
104797,0.4,EAC,1,Sonso
102746,0,EAC,0.8,Sonso
103524,0.28,EAC,5.84,Sonso
101636,1.88,EAC,2.92,Sonso
101088,3.12,EAC,3.12,Sonso
102546,0,EAC,0.92,Sonso
102520,-0.04,EAC,0.36,Sonso
103440,0,EAC,1.28,Sonso
103168,0.12,EAC,0.68,Sonso
103123,0,EAC,2.76,Sonso
104891,-1.56,EAC,-0.72,Sonso
103841,0,EAC,1.08,Sonso
100277,1.64,EAC,1.64,Sonso
101309,0.24,EAC,2,Sonso
101643,7.48,EAC,14.32,Sonso
101615,0.04,EAC,1.24,Sonso
103092,0.32,EAC,1.2,Sonso
102815,-0.04,EAC,-0.04,Sonso
103093,-0.04,EAC,7.84,Sonso
103845,0.16,EAC,0.92,Sonso
103055,0.04,EAC,1.04,Sonso
101906,1.24,EAC,4,Sonso
100313,16.76,EAC,16.76,Sonso
103840,1.16,EAC,1.52,Sonso
104491,0,EAC,1.64,Sonso
104030,3.04,EAC,37.92,Sonso
104555,0,EAC,1.88,Sonso
102522,1.68,EAC,1.88,Sonso
103233,26.84,EAC,29.56,Sonso
104257,0,EAC,1.6,Sonso
104481,0,EAC,1,Sonso
102470,-0.08,EAC,2.56,Sonso
104462,1.16,EAC,1.16,Sonso
104745,0.16,EAC,0.96,Sonso
100665,3.48,EAC,3.48,Sonso
101381,0,EAC,0.2,Sonso
104859,2.6,EAC,3.76,Sonso
101704,1.6,EAC,1.6,Sonso
100546,2.08,EAC,2.84,Sonso
100248,0,EAC,0.56,Sonso
100427,0,EAC,1.36,Sonso
100279,-1.4,EAC,-1.4,Sonso
103771,3.72,EAC,4.52,Sonso
101594,0,EAC,5.28,Sonso
104880,0.04,EAC,3.08,Sonso
100748,0.28,EAC,0.28,Sonso
103391,0,EAC,1.16,Sonso
101628,1.8,EAC,3.36,Sonso
100251,0.32,EAC,2.24,Sonso
104731,1.04,EAC,1.28,Sonso
102829,-0.2,EAC,1.92,Sonso
101353,0.24,EAC,0.4,Sonso
104135,3.56,EAC,4.44,Sonso
103835,1.48,EAC,2.6,Sonso
103733,0,EAC,0.96,Sonso
103118,0.56,EAC,11.04,Sonso
104326,0,EAC,4.84,Sonso
100106,0.52,EAC,0.88,Sonso
104378,1.12,EAC,4.24,Sonso
100186,0.76,EAC,3.12,Sonso
100985,4.6,EAC,5.92,Sonso
104884,0,EAC,1.76,Sonso
103120,-0.04,EAC,4.76,Sonso
101266,0,EAC,0,Sonso
103056,0.72,EAC,1.52,Sonso
101119,-0.04,EAC,0.2,Sonso
104820,0.96,EAC,1.6,Sonso
101029,0,EAC,0.8,Sonso
100874,-1.76,EAC,0.04,Sonso
104348,0.88,EAC,1.8,Sonso
104245,0.68,EAC,2.36,Sonso
103839,3.76,EAC,6.4,Sonso
104419,0,EAC,4.52,Sonso
103085,0.04,EAC,0.84,Sonso
100479,3.28,EAC,5.4,Sonso
104398,0,EAC,1.28,Sonso
104158,0,EAC,0.64,Sonso
101350,0.16,EAC,0.44,Sonso
101842,9.92,EAC,10.68,Sonso
104346,0.08,EAC,2.72,Sonso
101939,2.16,EAC,2.16,Sonso
100325,-0.36,EAC,-0.36,Sonso
103650,0,EAC,0.84,Sonso
103734,-0.04,EAC,0.64,Sonso
102570,0,EAC,0,Sonso
104712,0,EAC,0,Sonso
103459,1.12,EAC,1.6,Sonso
100911,0.68,EAC,2.8,Sonso
103038,0.28,EAC,1.12,Sonso
100585,-0.04,EAC,2.12,Sonso
103104,0,EAC,3.24,Sonso
102000,0.04,EAC,0.32,Sonso
101318,0.2,EAC,1.04,Sonso
101523,1.16,EAC,1.16,Sonso
103969,0.84,EAC,2.04,Sonso
104221,0,EAC,0.16,Sonso
100582,-3.8,EAC,-2.08,Sonso
102582,0.24,EAC,0.24,Sonso
104556,0.04,EAC,1.12,Sonso
101858,4.08,EAC,4.2,Sonso
101890,-3.12,EAC,-2.04,Sonso
101402,2.36,EAC,2.36,Sonso
100030,0.28,EAC,0.4,Sonso
104489,0.88,EAC,1.56,Sonso
102833,0.88,EAC,1,Sonso
103036,0,EAC,0.68,Sonso
103946,0.44,EAC,0.44,Sonso
100003,0.4,EAC,0.92,Sonso
102902,0.2,EAC,0.2,Sonso
100187,0,EAC,0.76,Sonso
103088,0,EAC,0.96,Sonso
100590,-0.44,EAC,0.12,Sonso
100142,0.16,EAC,0.48,Sonso
101732,0.4,EAC,1.04,Sonso
102348,3.44,EAC,3.68,Sonso
100171,0,EAC,0.52,Sonso
104482,0.12,EAC,0.28,Sonso
102710,-0.04,EAC,0.36,Sonso
103945,0.2,EAC,0.2,Sonso
101307,2.28,EAC,2.28,Sonso
101668,-0.6,EAC,0.52,Sonso
101833,-0.04,EAC,0.88,Sonso
104764,0,EAC,0.76,Sonso
100592,0.28,EAC,0.28,Sonso
104444,0,EAC,1.12,Sonso
100502,0.92,EAC,5.08,Sonso
100304,7.92,EAC,7.92,Sonso
102585,0.08,EAC,0.24,Sonso
104507,0.28,EAC,0.28,Sonso
104655,0,EAC,2.84,Sonso
104863,0,EAC,1.08,Sonso
104752,0,EAC,0,Sonso
100956,0.28,EAC,5.44,Sonso
102547,0,EAC,0.32,Sonso
104888,0,EAC,0.4,Sonso
102581,0.12,EAC,0.12,Sonso
101895,0.04,EAC,0.04,Sonso
101750,0,EAC,1.08,Sonso
104711,0.48,EAC,0.48,Sonso
103993,0.8,EAC,3,Sonso
100900,1.92,EAC,4.8,Sonso
102182,2.64,EAC,5.52,Sonso
104322,11.28,EAC,11.28,Sonso
102486,2.16,EAC,8.12,Sonso
101735,-0.24,EAC,0.84,Sonso
104418,0.04,EAC,0.04,Sonso
104006,0,EAC,2.04,Sonso
104892,4.96,EAC,4.96,Sonso
100254,0.24,EAC,1,Sonso
101032,2.6,EAC,3.92,Sonso
104133,1.08,EAC,2.96,Sonso
100290,6.44,EAC,6.44,Sonso
101633,0.44,EAC,1.32,Sonso
103111,0,EAC,0.52,Sonso
104568,0.2,EAC,0.76,Sonso
102831,0.88,EAC,1.72,Sonso
102745,-1,EAC,1.68,Sonso
104347,-0.04,EAC,1.28,Sonso
103709,0.16,EAC,1.56,Sonso
101083,2.56,EAC,2.56,Sonso
100107,-0.48,EAC,1.24,Sonso
103838,0,EAC,0.72,Sonso
104608,0.16,EAC,0.2,Sonso
101593,-0.08,EAC,23.64,Sonso
102398,3.8,EAC,3.8,Sonso
104052,0.28,EAC,0.4,Sonso
100072,-4.56,EAC,0.24,Sonso
104480,0.32,EAC,0.32,Sonso
104750,0.16,EAC,0.92,Sonso
104357,0.24,EAC,0.56,Sonso
